HBNET,HBNNT,HDNET,HDNEU,HDNNT,HDNNU,HENET,HENEU,HENNT,HENNU,HMNET,HMNEU,HMNNT,HMNNU,HSNET,HSNNT,HBSET,HBSNT,HDSET,HDSEU,HDSNT,HDSNU,HESET,HESEU,HESNT,HESNU,HMSET,HMSEU,HMSNT,HMSNU,HSSET,HSSNT,HBCET,HBCNT,HDCET,HDCEU,HDCNT,HDCNU,HECET,HECEU,HECNT,HECNU,HMCET,HMCEU,HMCNT,HMCNU,HSCET,HSCNT,HBBET,HBBNT,HDBET,HDBEU,HDBNT,HDBNU,HEBET,HEBEU,HEBNT,HEBNU,HMBET,HMBEU,HMBNT,HMBNU,HSBET,HSBNT
9.5830510939,25.0026247871,11.4182489971,9.8566591039,4.0310170756,6.3458703584,1.0117876363,4.4895118841,2.6226546551,-2.3415999844,40.2878439003,17.3563194412,15.0504108904,19.7834821454,22.8505647837,14.0809455347,23.8789282529,63.3809317058,-4.6774632801,75.8285571397,26.5828738533,19.9037597145,61.9831170974,47.584818247,65.5893921989,20.2332503005,46.9448381771,32.996053362,69.4024043975,35.276282323,12.6856189918,40.1325053173,21.5473537929,11.6370342536,10.1159592369,16.5538288742,2.9625313498,8.4894575237,19.5429846435,14.8527006192,13.3594484326,13.6181368519,6.3786155092,11.3286279741,16.6681160041,18.4013024851,6.5503226504,30.8559869103,75.7117848953,42.5599893283,8.0929769468,20.8925191282,14.7701478532,15.4580258111,37.7101765755,22.9843810585,13.4615810864,18.2162959797,37.2247373142,44.2236721512,26.5122743288,15.6023086606,36.5474954461,76.4081185617
14.4978366709,23.7925107623,2.1758339968,7.40720106,3.6948120405,6.9893126302,36.0829548717,61.8646666632,8.9699853142,6.4441560086,15.6999840937,10.6425963894,7.4329261636,20.3713423033,15.8979154609,14.0421936859,34.8204655463,41.5481435935,26.2462129112,29.3860419801,9.5063261893,19.3981910527,91.6990749562,53.422346444,38.6901598554,35.6308163162,25.2264581498,50.1839887145,29.9706616578,41.117819418,95.4922350292,32.4460800584,22.8976223429,34.4004655197,12.6044139666,17.7646391677,9.7544005079,18.0640347053,21.0311031432,10.3997425784,7.2487164666,14.3505879962,35.927154196,7.3957570144,25.059048388,23.776612526,26.3447378111,3.5759515672,25.6183303356,30.9759610958,1.7466929819,12.2523106177,10.5785207745,10.6722999712,9.6784263855,1.8285083853,28.7438675327,18.7692905615,72.1874373356,73.0059498751,5.6993963752,22.2486840613,36.6000700126,9.5729047367
0.7573206172,9.1731167846,18.2641752708,13.6114402925,4.8571847686,11.3917604205,14.2127748928,21.5464440057,18.4240520326,2.9389120212,16.8067309546,9.3985803169,23.5056682116,2.7378241485,20.0796962787,30.5162902407,40.9726768055,26.2000282201,9.9146411348,21.036987958,22.8031957109,16.8975149299,64.9068660662,35.5589229693,12.3458504135,52.9260119816,32.8018126865,42.4710282969,74.0086487823,55.7356558222,46.7682602618,11.2326615826,17.7747888624,21.8933312364,9.3466978677,5.5373965516,9.9182148206,-0.2952292293,16.2615905417,18.4900964539,7.0755737748,7.4785754084,21.6591398179,31.2890958503,23.2681002691,15.8037739674,18.297253114,12.1540206908,29.7220551375,90.543463975,3.1186347365,5.1676635136,12.1489693746,32.8445437806,17.7154423171,28.524412608,4.908599996,11.6364643036,18.7952114162,26.5080494222,23.5043105309,20.7226041973,23.3291314797,11.7224149993
23.9841852781,14.4740689584,8.8343674895,5.0079340695,15.9512531442,6.2665646064,10.2676611653,24.0319678394,12.3264435144,15.67592949,8.8220895679,23.7378568937,9.8484295558,54.4196787312,4.6005820821,23.972511687,24.9922907522,29.957704747,28.9755504024,30.0345880586,10.5613249339,23.974928108,69.3142277537,37.4058733663,34.8892874259,34.0358860944,29.1408687502,75.1265499078,41.8242051233,63.8458592535,33.5724561947,23.900670329,15.2162859293,20.2994239134,12.3000553305,-2.4983164398,4.1010928496,13.0497550814,23.5991463171,22.4615693271,22.9413675222,18.4591079368,22.9473025248,16.5290795954,23.2740670158,11.6812758759,12.6512311686,-0.3836855535,34.2012201161,40.264092988,4.2661845101,11.2139535337,11.2620353807,9.3580395606,21.8432915428,20.5170230152,13.7020916085,12.7122234277,61.4232305891,55.7747233371,11.8877782014,20.9952694288,37.2733272733,52.0883116667
8.3035768573,15.946736511,7.8751541007,7.423161063,0.3586560058,14.7196110391,21.3598323914,14.8108718585,2.8084443158,7.1655067448,15.2635701344,3.09730086,16.1238328337,11.1752774121,59.7369962971,-4.2476297135,45.6144178483,26.1442637811,20.2133195573,13.3363602882,31.9923676608,23.1392787363,23.951032856,44.3276018224,76.472659431,39.3600252529,31.9286734862,49.0144746216,45.8585134637,49.9726806027,57.2255538021,31.9537535586,24.3269083645,17.0826229293,-1.1692797549,5.6417670118,14.5597405374,9.1385244021,4.7761123008,18.0298441927,18.6759963065,15.5042266998,30.2918548544,17.6187660267,12.1045778229,20.962455862,13.5126601568,15.9965847519,22.0291239435,26.6686311171,13.2800820926,11.6903979026,11.5229779493,9.0960534944,24.7416894353,25.809376407,6.5368134001,13.391858872,37.27617316,37.6440212059,19.2235180779,37.0166483825,71.0308988976,22.111338429
53.1353181518,8.6792008627,3.0344890047,13.2227567121,12.3872536408,10.6249650488,50.6703437292,16.023308225,15.9285891684,7.4510221478,55.3015633476,32.7397090473,11.1424103749,7.1543541544,-2.9047714292,18.0197731751,30.3106734664,29.1336130719,16.3173384349,21.9471264755,23.4659833146,17.9438937398,47.7666140194,54.6884918037,52.7012592524,19.8384942044,50.1884925217,45.7853491232,1.0733224171,27.1619623529,93.0028614844,11.5975966716,7.3946976714,3.7206277278,15.5797813731,4.2278269896,13.7416111047,6.9344355936,20.6927290538,29.7752343691,14.2952971116,26.4000480059,22.6548509684,15.7695840561,5.2368186194,14.144401071,24.5189352325,12.6350451799,32.2680645529,12.1098395241,14.991332823,11.0057482817,0.4249663035,9.3663044291,15.9016885832,30.482067572,21.9698324986,5.9853459052,30.2664232903,84.4027635835,19.1116826695,16.5979246075,38.5982045457,25.93271943
3.5372313748,-0.1921235118,-5.3003073164,6.2203799685,12.3075778811,1.8266206862,8.1202059793,12.680362291,0.2932270793,19.8783347298,20.0509412436,13.3951602939,7.3501977771,14.4553420083,22.442714442,20.2319561957,66.1709177329,29.3847617724,19.6486175174,4.7312463465,38.1596362358,15.9400568548,11.6508046968,29.8419919026,29.4768684873,17.5453055304,54.1592665139,31.2567863881,47.638449803,39.4826730501,38.1783776575,14.1857404666,7.6140299809,16.7508654203,6.6729605972,8.1864921168,8.1090797882,8.5801883322,10.3321946618,8.3713401429,11.9320029015,7.2576612303,41.0120057282,-4.438797165,17.7573677403,11.0739143622,23.3927424659,13.58187246,16.0789846958,19.2500063756,7.9429116865,12.6483901282,15.8529221009,13.0689687805,26.0395073378,22.9065324191,7.8937582818,10.1358517972,11.7031141809,47.9862321519,10.3920999948,13.53540969,31.2208543918,9.1531205555
44.3272113046,12.538913386,11.4982888863,5.9230835665,14.5137652445,11.1992057523,15.9161055852,20.6619003396,-1.3875100093,8.4439470836,21.3942230631,50.4460553772,11.4883819689,24.7385585333,27.1781701949,20.721906806,17.8925888499,62.9401945322,26.2880917354,23.685921475,8.6921711215,34.0984572067,50.6875387674,65.068746861,35.6564386861,9.1726860037,42.1463392663,48.0655175268,68.457348368,72.0424713816,78.2286879631,19.1356015411,13.2997936361,31.6707926328,6.2114967159,2.3678313491,5.6587798482,1.8701083823,17.2527572729,3.9112515726,19.7109652186,6.8960900956,30.2313298476,8.1361014051,12.9689083408,7.3342931955,21.5696208444,8.6982993059,28.4239901434,26.9175754961,8.2099909326,10.3843014739,10.2562652676,10.49355246,36.9737158641,32.7623011683,-2.787347919,23.922260384,23.8088552016,27.8798619887,25.7177415221,29.1992681655,21.4485813764,7.7021181199
24.5749234374,25.4813647422,19.3731633223,14.9218867418,9.6826024543,11.570571998,11.7199307157,14.439677873,14.7744172298,9.7842696281,9.5448024013,16.1028897435,14.7943832322,18.0569379723,18.2115659814,10.4216407373,87.1577271782,22.9695017499,36.9017365921,29.3408628399,27.9012263599,50.7245035379,31.4289327008,68.2969603531,51.3062679078,14.0570499666,36.1312812053,60.3897059728,22.8058051534,44.0619581395,40.3372770567,32.8796943009,7.1361893416,7.611655487,14.3367870363,14.6487723544,15.3759660829,10.6821631534,16.9069232775,28.2548561246,17.3176371313,6.2486651295,24.2885272468,31.3082454752,14.8274724834,12.6857368311,10.7909493497,16.7510373708,29.6363507291,43.9971764545,13.9596939048,16.2503957344,7.9717800147,15.9693228994,31.6365332428,36.3070075156,31.7984431404,30.597114834,21.9015383229,21.1239885245,34.3660460844,18.4982035279,40.9328057479,44.0435955058
18.5811981106,15.8292645377,4.3152640495,11.2164972034,6.7250283235,6.1866819686,8.2857848286,5.5141203068,7.6887364975,16.009331935,29.4280317927,25.3791178072,25.4527106108,12.1554857099,2.99078357,13.1875278267,47.4352099698,22.7322055525,28.69712375,16.1636833856,28.176441199,18.0064942374,59.6489806944,62.5210452264,42.5589320059,32.6879439941,62.586197068,42.7009135106,33.3943949933,40.2600889575,30.9585422011,31.9365436062,6.3878895292,1.1194879969,18.7015776881,3.3452506557,12.2351862757,9.4878063171,4.6724584781,11.1714422184,2.8540840139,11.7230482137,16.3839886872,13.686759672,26.0341381216,11.6943044614,23.4085392576,-0.816764639,28.8305404025,43.3666144716,28.5360917086,2.7151940515,-2.1718688323,11.5573233276,11.1088920257,44.3128988835,23.805319887,7.1425457001,38.9188561721,31.2667572164,92.2649716834,18.8724114171,24.7155731063,34.741678983
