HBNET,HBNNT,HDNET,HDNEU,HDNNT,HDNNU,HENET,HENEU,HENNT,HENNU,HMNET,HMNEU,HMNNT,HMNNU,HSNET,HSNNT,HBSET,HBSNT,HDSET,HDSEU,HDSNT,HDSNU,HESET,HESEU,HESNT,HESNU,HMSET,HMSEU,HMSNT,HMSNU,HSSET,HSSNT,HBCET,HBCNT,HDCET,HDCEU,HDCNT,HDCNU,HECET,HECEU,HECNT,HECNU,HMCET,HMCEU,HMCNT,HMCNU,HSCET,HSCNT,HBBET,HBBNT,HDBET,HDBEU,HDBNT,HDBNU,HEBET,HEBEU,HEBNT,HEBNU,HMBET,HMBEU,HMBNT,HMBNU,HSBET,HSBNT
3.7060585381,0.6120399875,3.7644412053,4.0631560983,6.5972848918,3.777293376,10.2441088015,9.7738490465,13.7812350914,4.7180874005,0.663242275,1.675448939,1.6459640379,2.0247299506,1.2472235379,2.8841304661,0.9755705942,0.1496515085,6.7225346685,0.1648509904,0.9620973703,1.2873373529,0.1492727771,0.3867777423,0.1855908354,0.9535811431,0.6452839801,0.6978800737,0.4025066935,0.1434461213,4.4061635165,0.32477847,1.2052814749,2.6246485773,3.3767315024,2.0498727558,6.3789475063,4.5773618998,1.1824160285,1.09885901,2.3040467797,2.4280014295,3.3134599741,3.6516091714,2.0297088161,1.9744951333,6.9029141475,1.7037794702,0.4777397355,0.1634810173,5.2952840325,1.2908050591,1.6022820235,2.1539066615,0.5983326565,1.0922467378,1.1394341922,0.5447186131,0.5356296314,0.3395140892,0.7774534657,1.2918236862,0.3407728996,0.2154979119
2.9717350049,1.7471502826,20.2668418808,4.9353935159,16.614872837,7.8163569235,0.4121654829,0.5503703411,3.8196971542,6.7459910295,1.3588468761,2.7776956371,7.6993706704,2.2820524007,3.6141781927,4.129047034,0.4688541482,0.488061026,1.2168920092,0.6239396091,1.8445717358,1.3389068625,0.1248841738,0.0711995618,0.2827070182,0.4187497898,0.4522250382,0.150383334,0.3515680333,0.2574110333,0.4129905396,0.6274070552,1.924103065,0.4417942062,2.8176523368,2.4544209677,4.2774232271,2.3051984878,1.4710327462,2.1592504967,3.5326875125,1.8471047968,0.4482096963,5.4586490083,0.8651132737,0.9593905885,1.2688664285,8.3742466019,1.029039515,0.4791863652,5.7000568866,2.6379650084,3.2225842108,3.8194952867,2.5168709678,5.596253304,0.4747336073,0.8795987459,0.4192213201,0.5729617628,4.3999191346,0.5923414042,0.6527609162,2.7677399679
7.5017100886,4.0724338011,1.7989514731,3.5820747604,10.6485680291,2.2798815026,3.3619152411,1.2263563985,1.2608152741,13.0165414247,1.3731617624,3.125747468,0.9176424052,3.6151698865,1.5965537299,1.7549860574,0.2028722962,0.852596347,4.2434666733,1.3485545221,0.9486641488,1.3126528864,0.3796714361,0.1957117272,1.7318348812,0.6449293581,0.3443607221,0.5145121145,0.0262675861,0.4950628299,0.1994374705,2.3461968284,2.4666443834,1.3401712044,2.7997817682,5.2176240095,4.7993531134,7.6085372955,1.0174400001,1.5711638623,2.9199627115,4.3941274307,1.4952046009,0.5725484696,1.2383988024,1.5929428603,2.5160836343,3.8657305127,0.7711750347,0.1860250948,10.6590090212,6.9948644455,3.4919812507,0.9830625554,1.1978371266,0.4783473861,4.3638135639,1.5654571575,1.2864686689,1.2233721267,0.8497381654,0.989970613,0.7719586183,1.879033944
1.1778217406,3.1258567603,5.0319994485,12.5841127962,2.1550084224,3.8709061584,3.5561524082,0.7113856595,4.122676595,1.840416161,5.2125567329,0.920566913,1.9986856774,0.0322750065,7.5682322073,1.2765715595,1.0007916135,1.0604135481,1.0768700612,0.7997107943,3.8957090363,1.1733063147,0.4996994688,0.249394031,0.0567275465,0.3447031945,0.7714757384,0.6922514631,0.1830314497,0.5381740268,0.3039428803,0.9722862684,2.8050201863,1.8693033517,2.0437019746,5.8663139232,10.3645690204,2.7730839628,1.3515463473,1.6103754731,0.9757730545,1.3190450912,1.0275056355,2.359110085,0.6260383494,2.3930513747,3.3816253484,54.4459876506,0.5347851839,0.3299453304,5.4971666958,3.3729978744,3.3565212521,3.3772771995,0.9342561948,1.0496299358,1.1822157725,1.3072762207,0.3086289071,0.1506389396,1.168904229,0.2660136913,0.3251462348,0.0672615026
5.8273791319,2.8431627655,6.5742061362,2.7605698454,36.5116280722,3.0434688599,1.1445215214,1.9667011515,14.0579103092,3.9707780882,2.663756445,5.0393178036,2.3183409187,3.2742926765,0.1878675548,9.7070508636,0.4540557823,0.8172630303,1.7336725588,2.3758801999,0.6712712919,1.8706187953,0.9635583771,0.1184891633,0.137485721,0.1429963827,0.7685573592,0.2453654917,0.1298049673,0.0470748821,0.2404313125,0.7973062249,1.3048388676,1.8352697081,17.716996181,7.4571366088,2.9228038671,5.4679651874,6.5578466112,1.4417982427,0.6709061715,2.1001852446,1.1126634106,2.1645675764,3.0232590818,1.7527607109,2.4362446761,1.9390935477,1.6740021769,0.5797975054,2.1983468325,3.2258388105,3.265713111,3.3334036215,0.3122642516,0.4118781373,1.950443331,1.9497227208,0.5048601312,0.5202003872,1.3291036849,0.2001740878,0.2514925522,1.1286546978
0.4085569284,2.900465773,10.466651477,3.4275978868,3.6452254295,4.6602419098,0.3329244785,1.3503768383,1.1545559282,5.8742548287,0.6377637498,0.6734331271,2.5116564514,5.39301688,3.7600257289,1.8562654599,0.5414208857,0.8405904069,1.2538467994,0.8635231324,1.17143734,1.4269676639,0.0628928822,0.1504000007,0.5561059809,1.1597307613,0.2149976578,0.1711395063,12.4141070431,0.890605952,0.5155516458,2.379161936,5.0903868331,4.9824457838,3.0044312034,9.3692126822,2.6434570694,4.958796208,1.3700831898,0.9000101035,1.7685126825,0.8984235378,1.5702070527,1.6600559601,7.4501548063,1.9934914699,1.373248031,2.3348446604,0.4230330405,3.1586308922,1.9449183794,3.2767814692,9.1068908313,2.7151851006,1.2559400161,0.5042627833,0.4519959465,2.7121701707,0.721758707,0.3193750868,1.1783516085,0.8923448621,0.7953088739,1.1381793037
11.9674390067,13.1627672618,13.4982886091,6.416456246,3.0498092593,17.9110575184,3.5501928974,2.3038859204,5.5165820412,1.513456295,1.7581456786,3.7054044277,3.6754374926,2.5536626271,2.4778667164,1.5466576716,0.7521662343,0.3640325279,1.6938646407,7.2218340152,0.7582813962,2.5446706577,1.1213711089,0.1623283487,0.6966144763,0.7844767947,0.3604507693,0.8903847092,0.7768065096,0.1416874091,0.9069882106,1.2700868003,4.3520890765,2.4446544096,5.97096915,5.7868146981,4.7603978472,4.6225953355,4.175942338,3.4431490087,2.1272135421,2.6675013266,0.4150467357,14.6982891219,1.4575716514,3.3938439546,1.0053120842,4.6545641376,2.66337865,0.8729117543,4.5662023595,3.079762271,2.0795483189,1.9415053352,0.7404918862,0.6288142577,2.1095684429,2.182699364,2.2400561804,0.3662320758,1.5127689078,1.6297868224,0.319793991,2.8913721972
0.5756011555,3.7086422411,3.0378302404,5.7852621788,3.0716607745,2.9386253077,2.1134040547,1.7101487142,19.578719203,4.4812217767,2.0470021517,0.1930353078,3.56903641,0.9158094165,1.2103196678,1.790299401,2.3343803097,0.6070690401,1.2679607696,1.0593361703,3.4393943094,1.0228195703,0.0670627794,0.1710086807,0.0673236203,2.4560813661,0.4064353133,0.3191020548,0.2741210581,0.0376838703,0.1915602007,1.2514138918,3.3296635936,1.166619913,6.6300565939,13.4639520803,6.8401479872,7.7811670596,1.3264661935,10.9283584819,1.3612432705,3.9748812662,0.7022919524,3.589403524,2.5515949646,3.613321076,1.7232108664,2.9689631,0.9445550885,1.2032682887,4.5095153488,4.1947558612,2.9582483723,3.7653800656,0.5003129659,0.2357105166,4.305861593,0.2967909583,1.0130806583,0.7910912773,0.8316782527,0.4135203486,1.3168845768,3.096614851
1.6392332431,1.5163724087,1.8611663916,2.5291878377,5.3343351713,3.4342366055,2.7144638053,2.3240550326,3.1775797914,2.6381264591,4.1883172196,2.3357338353,2.9420220087,1.2715731099,2.7940511287,4.640664305,0.2675424211,0.9138540814,0.5774445843,0.8655708665,0.8567778094,0.4160850673,0.2489054916,0.1061292557,0.1305030548,1.6722204639,0.4288412721,0.2643382106,0.4102399062,0.5494335564,0.2768799825,0.5738294126,5.1204569824,2.2880831182,3.4290266148,2.1961217506,1.8114624816,3.7641095451,1.6099841351,0.9933897199,2.2467044301,5.5239373372,0.7830732828,0.7252745336,1.5794007481,2.8866318582,3.6805193414,2.6440822414,0.4636350392,0.2890397955,2.8562240796,1.6005503023,3.990621495,1.7931344286,0.5742783339,0.3046209427,0.1357998311,0.442642557,1.2630431695,0.878128068,0.4104395831,0.8498471372,0.3337446374,0.2675198778
2.1322011385,2.9447090451,6.3049290999,3.8530078976,3.5695679253,9.7043983355,2.8940758144,6.2564656077,3.3347358589,1.7373066092,0.6614358965,1.1942784464,0.8891906019,3.2883658852,11.2054631295,5.0806123556,0.2401945799,0.4010433055,0.8005885121,2.0336786851,1.0409437218,1.7524276745,0.3163988689,0.3105763781,0.2465288035,0.5435940023,0.564059839,0.1733560254,0.7908426379,0.2317685813,0.6125383884,0.4684814835,4.1093197754,10.469699282,1.7278677427,5.5136803483,2.7879652876,3.9783596937,7.2229914285,2.8277255304,13.1694137334,2.204743791,1.6140090299,2.4329560643,0.496351153,3.0413189206,1.5818967278,7.6817682328,0.8812422287,0.6100062345,1.0116615394,13.5596884723,19.1080563402,1.9319907586,2.1973028312,0.0405704472,0.4009637213,2.9239142101,0.1632699196,0.5629007016,0.0945288096,1.0258628938,1.143862088,0.3637027876
