SBNET,SBNNT,SDNET,SDNEU,SDNNT,SDNNU,SENET,SENEU,SENNT,SENNU,SMNET,SMNEU,SMNNT,SMNNU,SSNET,SSNNT,SBSET,SBSNT,SDSET,SDSEU,SDSNT,SDSNU,SESET,SESEU,SESNT,SESNU,SMSET,SMSEU,SMSNT,SMSNU,SSSET,SSSNT,SBCET,SBCNT,SDCET,SDCEU,SDCNT,SDCNU,SECET,SECEU,SECNT,SECNU,SMCET,SMCEU,SMCNT,SMCNU,SSCET,SSCNT,SBBET,SBBNT,SDBET,SDBEU,SDBNT,SDBNU,SEBET,SEBEU,SEBNT,SEBNU,SMBET,SMBEU,SMBNT,SMBNU,SSBET,SSBNT
1.644222913,3.6316077753,2.057596522,0.8692279494,1.1117530109,2.6004997827,0.9873737531,1.2145294347,2.8664857273,3.5907030146,0.8538049856,0.4856621655,0.306102659,1.4675069727,0.8072238798,0.2932353911,1.3153939259,1.8492455907,1.8129178782,3.6849767786,0.5512794659,2.232906753,0.6846871441,0.6078595051,1.7727256905,1.1200970851,0.1136528625,0.5884603819,0.3012414649,0.630773508,1.4211147806,0.7993782721,1.3883923778,0.8259638135,1.6953037477,0.8527778571,0.352600351,2.2677915673,2.1755955985,1.7918457082,1.0800177247,1.4499013363,0.4231129115,1.3181878822,0.875154593,1.6626305219,0.4208284752,0.6270892339,3.8160187563,0.3135640548,0.9467086936,2.6746657641,0.2950854793,0.8841230804,1.4750414679,1.5843098974,2.5000272447,0.4618631808,0.9108353643,0.7261046194,0.51706753,0.2828234279,0.6688128064,0.4244063788
1.6625646377,0.3338820455,0.7890233102,1.1997308486,1.7083135574,1.554766475,1.0557681084,2.2493330323,1.6089787755,0.7111515887,0.5996095766,1.6166858692,1.0670288225,1.3566966091,1.3598339646,3.6991256918,1.4539562558,0.5685127446,1.6699730829,2.148083867,0.5090473652,0.3158774813,0.9841490763,0.7042104937,1.8579295179,0.3577749966,1.1594080734,0.858330028,0.3066686788,0.8184661344,0.3719191604,1.1728765287,2.4104664915,3.8072463421,1.3059763492,2.1751258011,1.9645856664,0.3919448914,1.4507601819,2.4257172649,0.5614921623,2.6223540174,0.5361989068,2.605390167,0.4378613155,1.2000010772,0.8750855304,2.759639422,1.8491406317,1.8101922353,1.5373989009,1.4764944802,0.4188390311,0.6635301459,1.9980344258,0.7758351874,1.9753740282,2.5599176622,0.4976688637,1.046830809,1.0509446057,1.2185923276,0.967157792,5.4986159627
0.3371939252,1.5673146973,1.5006946255,2.2082535431,0.6202646358,0.9418039041,1.0686661514,0.711484038,0.9135778613,0.8399782821,2.4609334388,0.9454316452,0.7118674579,0.3861069304,0.5251001592,0.6788367173,0.7103339212,2.8325690794,2.2348176783,1.0121598418,0.2306664368,1.5427324118,1.1180134606,0.9570906845,1.1426165921,0.3928605972,0.5893976807,0.8476288039,0.4159447028,0.1111211239,0.1857516326,1.2380809475,1.4741035114,2.3196235264,0.9404571982,0.2916569921,0.1261368149,1.5164220756,0.7460714896,1.4616203071,0.6934347745,1.4809764846,1.7338358445,1.9219031665,0.7056140254,0.6518691763,3.004312577,0.4450600655,1.1062128455,1.1625721849,3.2686979527,0.1470254075,0.890091224,1.1422452652,1.2675969982,1.6741347229,1.085447841,2.3758258007,0.4023582129,0.6718006225,1.2212709891,0.8854144195,0.5017674095,0.3782574473
1.565993834,0.8725500192,1.9650709849,2.0494924903,0.5880549482,1.2301479825,0.9257108753,0.9580866264,0.4097659945,0.7819391875,1.1113787499,1.7051462951,1.8591295163,1.5094919438,0.6365337901,1.502206433,1.4830740426,1.2926637407,1.7832224936,2.0096308811,1.8040860624,2.4948731922,0.5768513738,0.5281631956,0.3218976676,0.841823471,0.9810967897,0.6783549683,0.3692721385,0.6696255605,1.0230899403,0.4688850057,0.8847126963,0.5214560878,1.6099259387,0.959974386,0.6034675946,0.4405200099,0.8110794586,0.9564020474,0.515463113,0.760678532,1.74455138,1.1716851294,0.5527101469,0.1272066975,1.9105469822,1.2628530838,1.5299594471,0.7508515399,1.2739442978,1.9364680072,0.5523730322,0.1875363195,1.6035343154,1.3103126877,0.1235149769,0.55107234,0.6669388152,1.2640036621,0.7575313538,1.3379039935,1.9027343018,0.4518206826
2.3217712751,1.6679688496,1.379919221,0.8390363442,0.7989703709,1.062114568,0.9138951696,0.9178070371,1.6743387896,1.3935129691,0.8581635267,0.2675568724,0.6167408462,0.7859238516,4.5856610451,0.4107508755,1.8763470121,1.9997257235,1.8225518381,1.3004578439,1.2548337973,1.0867620518,0.3726237048,0.5038789847,0.6475070299,0.325268152,0.5258367004,0.4526463538,1.1754308738,1.4277001081,1.1745456472,0.8252470927,1.4130237141,2.1268906085,1.5582736691,1.4456836495,9.0826437737,0.1788240766,1.4752676426,2.8584970447,0.8648269958,2.5796079956,2.5040921007,2.4846989485,0.8833128208,5.451724851,0.7987155729,1.0582844038,1.0858555095,2.0746741906,1.7744880364,4.1751975225,0.2665728665,1.3664988079,2.2382983678,1.6985362089,0.6331143535,1.5562544271,2.3908825163,1.0661878831,0.275214422,0.7174750136,0.3301610133,2.3460498125
1.2156254302,2.346765057,1.0279329653,2.4196007061,1.2770000691,0.6526582802,0.5739747716,1.6728432133,0.8820607927,1.2957448773,0.4467103137,2.0625036322,0.7056447032,3.8050048708,1.5979628551,0.9449465687,0.445345395,1.0036936628,1.4803308196,0.7646878048,1.381270873,1.1719770477,0.7627069236,1.0287856162,0.8557150998,0.563598396,0.2761769,0.946396315,4.412995443,0.3620282057,0.6293903656,0.5502503602,1.6881960378,0.8487328787,1.666533835,1.6175369369,4.3441856976,1.6034367966,2.6164919051,1.297597082,1.4998414777,1.0857677872,1.3986926803,1.2025307962,0.8460618975,3.488323196,1.4757085466,0.7975014205,2.1233587707,2.6585143547,1.3332427535,1.7315409273,0.8396106581,2.5466215019,1.7935220252,0.7304269531,0.4757843892,0.8374101138,0.4733772545,1.8993764648,2.3959179741,1.2741192663,0.2494717122,1.0053736629
1.4914407773,1.6044651318,0.6920804764,1.4221909222,0.6016600559,1.4336134768,0.963857509,0.3969613601,1.0181705892,1.8419484788,1.4730270161,0.1596854003,2.5598480287,0.4228849766,0.2385033904,0.4138203476,3.6287754052,1.8020028124,1.1770768243,2.158275655,0.8684661978,0.8811676633,0.4746205646,0.8367843126,1.0561886059,0.8541945091,1.3310399772,0.4207461305,0.7467601707,0.4204208212,0.2191990844,2.5038577754,0.6022369103,0.6659909722,1.1337670227,1.2577741462,1.0467909522,0.649992275,2.7248865351,1.5779772718,5.7480304854,1.0947900013,1.4324414109,0.174881415,0.5256154744,0.8820109402,1.2594895153,0.1590758765,1.9486184877,1.8395046946,3.0343297278,2.3305162568,2.0738839313,0.2434263088,1.7610646121,1.4377614711,0.8811609423,2.0618871106,0.6864039489,1.6157929925,3.6950956183,0.5909158792,0.5979827642,1.1697745943
0.9034549504,0.2850729239,1.1986416494,1.0272316292,0.8927840433,1.0239867104,1.72372664,1.2586659284,0.7718922698,0.4946832554,0.0912825546,0.6532427695,0.9451066283,0.1096820337,0.9595418193,2.396208835,1.3692521871,1.6115430659,1.5263781983,1.5878371799,4.323260784,0.8390953081,0.8582857772,0.3458563059,0.2609079455,0.3716249911,0.7022860013,4.4681507695,0.8034905384,0.3831990231,0.6926832067,0.3532870015,2.9089164361,0.436210598,1.4763076134,0.862417232,0.169548334,0.5895958001,0.3491285862,1.1173426587,1.1696741584,0.3721563972,0.4426941003,0.8727355124,0.7590579342,1.6612418046,0.2049189414,1.6278615972,2.1193918377,0.6378186715,1.1962583619,2.14709563,1.2929382283,1.4847671878,2.4514652232,1.4146310681,2.0126059089,1.1797078592,1.7186721554,0.4068437396,0.6692161534,0.4985009802,0.7650115308,2.2893186256
0.5899421161,0.6244071796,6.1040609086,1.2619121688,0.3319263036,1.3624967851,0.6731892551,0.8351092727,0.3788322782,1.0500594795,0.8474070419,0.2119441363,1.9595939595,0.5962364612,1.0722498442,1.1388206631,1.2937001014,1.212133783,0.2483910492,1.4158506531,3.6818410295,1.2444179141,0.4864988236,0.3870506572,1.042686311,0.5406279164,0.2169309715,0.2192474903,0.5165875902,1.0765805591,1.5308275305,0.1670565552,2.1928460765,2.2314606506,2.0085743128,1.1569487877,1.669697366,0.9772915611,1.2689557071,3.6261715766,0.9139269883,0.6020771415,0.6976327511,1.2520046108,0.3248284309,0.51817936,1.3041407327,0.865115031,1.3059265068,2.2581873401,1.4769164928,0.5673803512,1.1372583501,0.2857213505,1.5555369919,0.2598573337,0.4867281591,1.436553038,1.0874922598,0.4091428347,0.6276261507,0.6369145111,2.3232325563,1.0649602393
0.9051714473,1.2800118985,1.3225533877,1.1803698979,0.9570970951,1.0280255688,1.5350374314,1.6601316111,0.205086443,1.0389023747,0.880157526,0.7359551587,0.3551054346,0.7549404687,0.1250882856,0.3551381262,1.5906053298,0.4954532882,1.1845394044,3.2025677784,1.1334791978,0.7190262647,1.0229598334,1.5620372735,8.2614578299,0.7556573929,0.9943906845,0.1735258884,0.7660208306,1.0651781746,1.8845521847,0.4894129117,0.9224344913,0.6661618903,1.5400305934,0.4978043923,0.5623957638,2.2217507976,1.4671922908,2.0034770963,0.691173187,2.0645900558,0.6314140319,1.0351154537,0.3327475713,0.7292632,2.3121382963,0.7919328315,0.8900258391,1.0019715871,6.4494256773,1.7538814666,0.7998996384,0.685536519,0.7874476136,1.2240170801,0.7142806095,0.6758585931,0.5969588986,1.2227006863,1.0585627602,0.9067250641,3.2641161274,0.5829149964
